Adj Close SOXX,Adj Close ADI
63.534771,42.730141
63.347416,42.624416
63.000778,42.280819
62.738464,41.901974
63.134663,42.060558
63.200535,41.919598
63.162888,41.805054
62.654728,41.311684
62.720589,41.452641
63.322857,41.505508
63.209938,41.232388
63.049957,40.80949
63.529881,41.399788
63.209938,41.091412
62.203007,40.263256
61.977158,40.254429
63.3605,41.100235
63.482845,41.390968
63.981598,41.646465
63.407555,41.170719
64.009834,41.620037
64.480339,41.86673
64.659134,41.990082
64.819115,42.06937
64.668564,41.972454
62.532383,40.950451
63.087601,41.364536
63.285221,41.188335
63.718102,41.83149
64.743828,43.320442
64.386238,42.976833
64.809715,43.434963
64.52739,43.769764
64.480339,43.311611
64.329773,43.866673
64.461517,43.990017
63.322857,43.294003
64.009834,43.875477
64.009834,43.752136
64.40506,43.91954
64.922623,44.360054
64.649727,44.368866
65.063782,44.659599
64.480339,44.148602
63.736938,43.567116
63.398148,43.241142
64.546219,43.849052
64.630928,43.840244
64.546219,43.752136
65.092041,43.98122
65.270828,42.765388
65.374329,42.483456
65.214355,42.64204
65.440224,43.66404
65.139084,43.264839
65.270828,43.309193
66.033073,43.708397
66.183647,43.477737
66.004837,43.389038
65.430801,43.176117
64.894409,42.679337
64.76265,42.945465
65.562546,43.238216
66.249519,43.415642
66.597694,44.160828
66.324806,44.054367
66.917648,44.364864
67.417068,44.905998
67.568123,44.914875
67.832466,45.012459
67.88913,44.976982
68.002403,45.110035
68.644394,45.181011
67.70031,43.717255
67.502037,44.010021
67.1716,43.761623
67.634216,43.992271
68.644394,44.098724
68.134567,43.930168
68.446106,43.939041
67.671974,43.353546
69.12587,44.098724
69.739525,44.373734
69.380753,44.196308
69.003143,43.805969
69.380753,44.338249
70.126572,44.684219
69.427979,43.832588
67.813591,42.803535
67.341553,42.77692
67.615334,43.03418
67.360443,42.821278
68.210106,43.371284
67.898552,42.821278
66.378593,41.925278
66.491882,42.306747
66.576836,42.448689
67.634216,42.892242
68.701035,43.442265
69.050323,43.664036
69.956657,44.134216
70.570313,44.258404
71.37278,44.968098
71.835396,45.03907
72.024185,45.447147
71.958122,45.748775
72.449028,45.597958
72.137482,45.34956
72.420715,45.207623
72.033646,45.065689
72.524574,45.432068
72.515114,45.601871
72.458481,45.414204
72.005318,45.199738
73.279831,45.753784
73.421455,45.789532
73.931252,46.084423
73.846306,46.316776
73.723564,46.289955
73.317604,46.039734
73.902946,46.227409
72.703957,45.083557
72.288551,44.761852
